TF	Genotype	Tissue	direction	goid	goname	n	p-value	B73v4.gid	W22.gid
baf60.21	baf60.21-m1	tassel_stem	down	GO:0030570	pectate lyase activity	3	0.022592866	"Zm00001d000216,Zm00001d036158,Zm00001d046389"	"Zm00004b031970,Zm00004b029077,Zm00004b032739"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0030795	jasmonate O-methyltransferase activity	2	0.014112924	"Zm00001d044762,Zm00001d044763"	"Zm00004b031485,Zm00004b031486"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0032944	regulation of mononuclear cell proliferation	1	0.046561975	Zm00001d048629	Zm00004b020121
baf60.21	baf60.21-m1	tassel_stem	down	GO:0034213	quinolinate catabolic process	1	0.046561975	Zm00001d021419	Zm00004b036708
baf60.21	baf60.21-m1	tassel_stem	down	GO:0034707	chloride channel complex	2	0.041795191	"Zm00001d025474,Zm00001d046919"	"Zm00004b039577,Zm00004b033148"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0034979	NAD-dependent protein deacetylase activity	1	0.046561975	Zm00001d047121	Zm00004b033354
baf60.21	baf60.21-m1	tassel_stem	down	GO:0040009	regulation of growth rate	2	0.021986616	"Zm00001d022075,Zm00001d047279"	"Zm00004b037254,Zm00004b033479"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0042284	sphingolipid delta-4 desaturase activity	2	0.041795191	"Zm00001d043994,Zm00001d044833"	"Zm00004b019447,Zm00004b031538"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0042989	sequestering of actin monomers	2	0.041795191	"Zm00001d010797,Zm00001d038783"	"Zm00004b026617,Zm00004b031053"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0043335	protein unfolding	1	0.046561975	Zm00001d038806	Zm00004b031071
baf60.21	baf60.21-m1	tassel_stem	down	GO:0044070	regulation of anion transport	3	0.027504233	"Zm00001d025474,Zm00001d036703,Zm00001d046919"	"Zm00004b039577,Zm00004b029449,Zm00004b033148"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0045490	pectin catabolic process	5	0.020765512	"Zm00001d000216,Zm00001d022460,Zm00001d025588,Zm00001d036158,Zm00001d046389"	"Zm00004b031970,Zm00004b037583,Zm00004b039656,Zm00004b029077,Zm00004b032739"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0046622	positive regulation of organ growth	2	0.007800418	"Zm00001d022075,Zm00001d047279"	"Zm00004b037254,Zm00004b033479"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0046715	active borate transmembrane transporter activity	1	0.023557869	Zm00001d032461	Zm00004b003891
baf60.21	baf60.21-m1	tassel_stem	down	GO:0046910	pectinesterase inhibitor activity	4	0.014223563	"Zm00001d022460,Zm00001d025588,Zm00001d037831,Zm00001d038876"	"Zm00004b037583,Zm00004b039656,Zm00004b030313,Zm00004b031143"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0047462	phenylalanine racemase (ATP-hydrolyzing) activity	1	0.046561975	Zm00001d045551	Zm00004b032125
baf60.21	baf60.21-m1	tassel_stem	down	GO:0047889	ferredoxin-nitrate reductase activity	1	0.046561975	Zm00001d018161	Zm00004b015207
baf60.21	baf60.21-m1	tassel_stem	down	GO:0048307	ferredoxin-nitrite reductase activity	1	0.046561975	Zm00001d018161	Zm00004b015207
baf60.21	baf60.21-m1	tassel_stem	down	GO:0048870	cell motility	3	0.032936593	"Zm00001d013179,Zm00001d025401,Zm00001d044008"	"Zm00004b011168,Zm00004b039519,Zm00004b019454"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0051575	5'-deoxyribose-5-phosphate lyase activity	1	0.046561975	Zm00001d044780	Zm00004b031500
baf60.21	baf60.21-m1	tassel_stem	down	GO:0051937	catecholamine transport	1	0.046561975	Zm00001d011613	Zm00004b027285
baf60.21	baf60.21-m1	tassel_stem	down	GO:0055001	muscle cell development	2	0.003219584	"Zm00001d026020,Zm00001d048629"	"Zm00004b040030,Zm00004b020121"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0060538	skeletal muscle organ development	2	0.014112924	"Zm00001d026020,Zm00001d048629"	"Zm00004b040030,Zm00004b020121"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0071944	cell periphery	6	0.012854346	"Zm00001d005465,Zm00001d019291,Zm00001d022460,Zm00001d025588,Zm00001d037831,Zm00001d038876"	"Zm00004b008789,Zm00004b035186,Zm00004b037583,Zm00004b039656,Zm00004b030313,Zm00004b031143"
baf60.21	baf60.21-m1	tassel_stem	down	GO:0080133	midchain alkane hydroxylase activity	1	0.046561975	Zm00001d027599	Zm00004b000312
baf60.21	baf60.21-m1	tassel_stem	down	GO:2001294	malonyl-CoA catabolic process	1	0.046561975	Zm00001d010452	Zm00004b026339
baf60.21	baf60.21-m1	tassel_stem	up	GO:0000802	transverse filament	1	0.033845152	Zm00001d025575	Zm00004b039645
baf60.21	baf60.21-m1	tassel_stem	up	GO:0002164	larval development	1	0.044871533	Zm00001d047329	Zm00004b033507
baf60.21	baf60.21-m1	tassel_stem	up	GO:0004097	catechol oxidase activity	2	0.013999213	"Zm00001d026336,Zm00001d046748"	"Zm00004b040309,Zm00004b033029"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0004503	monophenol monooxygenase activity	1	0.044871533	Zm00001d046748	Zm00004b033029
baf60.21	baf60.21-m1	tassel_stem	up	GO:0005946	alpha/alpha-trehalose-phosphate synthase complex (UDP-forming)	1	0.044871533	Zm00001d010755	Zm00004b026587
baf60.21	baf60.21-m1	tassel_stem	up	GO:0007127	meiosis I	3	0.009899527	"Zm00001d006382,Zm00001d025575,Zm00001d037404"	"Zm00004b009528,Zm00004b039645,Zm00004b029991"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0007128	meiotic prophase I	1	0.044871533	Zm00001d006382	Zm00004b009528
baf60.21	baf60.21-m1	tassel_stem	up	GO:0008809	carnitine racemase activity	1	0.022692072	Zm00001d038755	Zm00004b031030
baf60.21	baf60.21-m1	tassel_stem	up	GO:0008899	homoserine O-succinyltransferase activity	1	0.044871533	Zm00001d013532	Zm00004b011470
baf60.21	baf60.21-m1	tassel_stem	up	GO:0009921	auxin efflux carrier complex	2	0.002621026	"Zm00001d018024,Zm00001d052269"	"Zm00004b015082,Zm00004b023046"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0009925	basal plasma membrane	2	0.003468479	"Zm00001d018024,Zm00001d052269"	"Zm00004b015082,Zm00004b023046"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0009964	negative regulation of flavonoid biosynthetic process	1	0.044871533	Zm00001d026369	Zm00004b040337
baf60.21	baf60.21-m1	tassel_stem	up	GO:0010023	proanthocyanidin biosynthetic process	1	0.044871533	Zm00001d014914	Zm00004b012614
baf60.21	baf60.21-m1	tassel_stem	up	GO:0010036	response to boron-containing substance	1	0.044871533	Zm00001d041590	Zm00004b017374
baf60.21	baf60.21-m1	tassel_stem	up	GO:0010252	auxin homeostasis	4	0.030385715	"Zm00001d018024,Zm00001d022473,Zm00001d026268,Zm00001d039952"	"Zm00004b015082,Zm00004b037570,Zm00004b040253,Zm00004b016213"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0010338	leaf formation	2	0.035197272	"Zm00001d018024,Zm00001d052269"	"Zm00004b015082,Zm00004b023046"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0010358	leaf shaping	2	0.032731252	"Zm00001d018024,Zm00001d052269"	"Zm00004b015082,Zm00004b023046"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0010622	specification of ovule identity	1	0.022692072	Zm00001d041781	Zm00004b017525
baf60.21	baf60.21-m1	tassel_stem	up	GO:0010777	meiotic mismatch repair involved in reciprocal meiotic recombination	1	0.033845152	Zm00001d006382	Zm00004b009528
baf60.21	baf60.21-m1	tassel_stem	up	GO:0015174	basic amino acid transmembrane transporter activity	2	0.048534092	"Zm00001d012231,Zm00001d046235"	"Zm00004b027812,Zm00004b032636"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0015809	arginine transport	2	0.025770281	"Zm00001d012231,Zm00001d046235"	"Zm00004b027812,Zm00004b032636"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0016125	sterol metabolic process	3	0.049237611	"Zm00001d028282,Zm00001d028694,Zm00001d040979"	"Zm00004b000842,Zm00004b001175,Zm00004b016968"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0019281	L-methionine biosynthetic process from homoserine via O-succinyl-L-homoserine and cystathionine	1	0.044871533	Zm00001d013532	Zm00004b011470
baf60.21	baf60.21-m1	tassel_stem	up	GO:0019748	secondary metabolic process	9	0.005588725	"Zm00001d002564,Zm00001d007403,Zm00001d014914,Zm00001d026268,Zm00001d026369,Zm00001d035462,Zm00001d039952,Zm00001d044122,Zm00001d044954"	"Zm00004b006528,Zm00004b010315,Zm00004b012614,Zm00004b040253,Zm00004b040337,Zm00004b028611,Zm00004b016213,Zm00004b019556,Zm00004b031627"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0033106	cis-Golgi network membrane	1	0.022692072	Zm00001d028574	Zm00004b001087
baf60.21	baf60.21-m1	tassel_stem	up	GO:0033729	anthocyanidin reductase activity	1	0.044871533	Zm00001d026369	Zm00004b040337
baf60.21	baf60.21-m1	tassel_stem	up	GO:0045143	homologous chromosome segregation	1	0.033845152	Zm00001d006382	Zm00004b009528
baf60.21	baf60.21-m1	tassel_stem	up	GO:0046148	pigment biosynthetic process	2	0.015747721	"Zm00001d026336,Zm00001d046748"	"Zm00004b040309,Zm00004b033029"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0047172	shikimate O-hydroxycinnamoyltransferase activity	2	0.035197272	"Zm00001d026268,Zm00001d039952"	"Zm00004b040253,Zm00004b016213"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0047205	quinate O-hydroxycinnamoyltransferase activity	2	0.035197272	"Zm00001d026268,Zm00001d039952"	"Zm00004b040253,Zm00004b016213"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0047890	flavanone 4-reductase activity	1	0.044871533	Zm00001d044122	Zm00004b019556
baf60.21	baf60.21-m1	tassel_stem	up	GO:0048826	cotyledon morphogenesis	2	0.015747721	"Zm00001d018024,Zm00001d052269"	"Zm00004b015082,Zm00004b023046"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0048830	adventitious root development	2	0.043005427	"Zm00001d018024,Zm00001d052269"	"Zm00004b015082,Zm00004b023046"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0050589	leucocyanidin oxygenase activity	3	2.99E-04	"Zm00001d002564,Zm00001d014914,Zm00001d035462"	"Zm00004b006528,Zm00004b012614,Zm00004b028611"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0051555	flavonol biosynthetic process	3	0.036719571	"Zm00001d002564,Zm00001d016091,Zm00001d035462"	"Zm00004b006528,Zm00004b013481,Zm00004b028611"
baf60.21	baf60.21-m1	tassel_stem	up	GO:0097431	mitotic spindle pole	1	0.022692072	Zm00001d021636	Zm00004b036909
baf60.21	baf60.21-m1	tassel_stem	up	GO:0098797	plasma membrane protein complex	1	0.044871533	Zm00001d046882	Zm00004b033119
baf60.21	baf60.21-m1	tassel_stem	up	GO:1900377	negative regulation of secondary metabolite biosynthetic process	1	0.044871533	Zm00001d026369	Zm00004b040337
baf60.21	baf60.21-m1	tassel_stem	up	GO:1902039	negative regulation of seed dormancy process	1	0.033845152	Zm00001d028574	Zm00004b001087
baf60.21	baf60.21-m1	tassel_stem	up	GO:1902936	phosphatidylinositol bisphosphate binding	1	0.044871533	Zm00001d045858	Zm00004b032364
baf60.21	baf60.21-m2	tassel_stem	down	GO:0001694	histamine biosynthetic process	1	0.003572645	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:0004462	lactoylglutathione lyase activity	1	0.042063125	Zm00001d049404	Zm00004b020739
baf60.21	baf60.21-m2	tassel_stem	down	GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity	1	0.033444081	Zm00001d021419	Zm00004b036708
baf60.21	baf60.21-m2	tassel_stem	down	GO:0004528	phosphodiesterase I activity	1	0.010680809	Zm00001d044311	Zm00004b019716
baf60.21	baf60.21-m2	tassel_stem	down	GO:0006754	ATP biosynthetic process	2	0.011502505	"Zm00001d014166,Zm00001d014347"	"Zm00004b012018,Zm00004b012156"
baf60.21	baf60.21-m2	tassel_stem	down	GO:0006801	superoxide metabolic process	1	0.040345306	Zm00001d025106	Zm00004b039285
baf60.21	baf60.21-m2	tassel_stem	down	GO:0006812	cation transport	2	0.045202101	"Zm00001d014166,Zm00001d014347"	"Zm00004b012018,Zm00004b012156"
baf60.21	baf60.21-m2	tassel_stem	down	GO:0007186	G-protein coupled receptor signaling pathway	2	0.044350489	"Zm00001d000175,Zm00001d047259"	"Zm00004b033312,Zm00004b033459"
baf60.21	baf60.21-m2	tassel_stem	down	GO:0007338	single fertilization	1	0.047198695	Zm00001d014166	Zm00004b012018
baf60.21	baf60.21-m2	tassel_stem	down	GO:0007601	visual perception	1	0.007132901	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:0007629	flight behavior	1	0.007132901	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:0008081	phosphoric diester hydrolase activity	2	0.009644208	"Zm00001d044311,Zm00001d047259"	"Zm00004b019716,Zm00004b033459"
baf60.21	baf60.21-m2	tassel_stem	down	GO:0008092	cytoskeletal protein binding	1	0.031711263	Zm00001d014207	Zm00004b012058
baf60.21	baf60.21-m2	tassel_stem	down	GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	1	0.023001843	Zm00001d039385	Zm00004b015710
baf60.21	baf60.21-m2	tassel_stem	down	GO:0009861	jasmonic acid and ethylene-dependent systemic resistance	1	0.028236576	Zm00001d039345	Zm00004b015670
baf60.21	baf60.21-m2	tassel_stem	down	GO:0010046	response to mycotoxin	1	0.015979608	Zm00001d039345	Zm00004b015670
baf60.21	baf60.21-m2	tassel_stem	down	GO:0010256	endomembrane system organization	1	0.040345306	Zm00001d046149	Zm00004b032558
baf60.21	baf60.21-m2	tassel_stem	down	GO:0015276	ligand-gated ion channel activity	1	0.021250858	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:0015662	ATPase activity/ coupled to transmembrane movement of ions/ phosphorylative mechanism	2	0.004038135	"Zm00001d014166,Zm00001d014347"	"Zm00004b012018,Zm00004b012156"
baf60.21	baf60.21-m2	tassel_stem	down	GO:0016763	transferase activity/ transferring pentosyl groups	1	0.04377796	Zm00001d021419	Zm00004b036708
baf60.21	baf60.21-m2	tassel_stem	down	GO:0019900	kinase binding	2	0.00346162	"Zm00001d014207,Zm00001d014278"	"Zm00004b012058,Zm00004b012102"
baf60.21	baf60.21-m2	tassel_stem	down	GO:0030466	chromatin silencing at silent mating-type cassette	1	0.007132901	Zm00001d039140	Zm00004b031377
baf60.21	baf60.21-m2	tassel_stem	down	GO:0032456	endocytic recycling	1	0.040345306	Zm00001d014278	Zm00004b012102
baf60.21	baf60.21-m2	tassel_stem	down	GO:0032879	regulation of localization	1	0.008908396	Zm00001d047259	Zm00004b033459
baf60.21	baf60.21-m2	tassel_stem	down	GO:0034213	quinolinate catabolic process	1	0.003572645	Zm00001d021419	Zm00004b036708
baf60.21	baf60.21-m2	tassel_stem	down	GO:0034312	diol biosynthetic process	1	0.01421641	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:0035529	NADH pyrophosphatase activity	1	0.01421641	Zm00001d044311	Zm00004b019716
baf60.21	baf60.21-m2	tassel_stem	down	GO:0042168	heme metabolic process	1	0.007132901	Zm00001d039385	Zm00004b015710
baf60.21	baf60.21-m2	tassel_stem	down	GO:0042318	penicillin biosynthetic process	1	0.003572645	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:0042416	dopamine biosynthetic process	1	0.003572645	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:0042625	ATPase coupled ion transmembrane transporter activity	1	0.012450145	Zm00001d014347	Zm00004b012156
baf60.21	baf60.21-m2	tassel_stem	down	GO:0042646	plastid nucleoid	1	0.033444081	Zm00001d025106	Zm00004b039285
baf60.21	baf60.21-m2	tassel_stem	down	GO:0046148	pigment biosynthetic process	1	0.029975429	Zm00001d039385	Zm00004b015710
baf60.21	baf60.21-m2	tassel_stem	down	GO:0048067	cuticle pigmentation	1	0.003572645	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:0048281	inflorescence morphogenesis	1	0.035173889	Zm00001d014166	Zm00004b012018
baf60.21	baf60.21-m2	tassel_stem	down	GO:0048878	chemical homeostasis	1	0.029975429	Zm00001d014347	Zm00004b012156
baf60.21	baf60.21-m2	tassel_stem	down	GO:0051973	positive regulation of telomerase activity	1	0.01421641	Zm00001d025707	Zm00004b039758
baf60.21	baf60.21-m2	tassel_stem	down	GO:0070382	exocytic vesicle	1	0.035173889	Zm00001d014278	Zm00004b012102
baf60.21	baf60.21-m2	tassel_stem	down	GO:0070566	adenylyltransferase activity	1	0.017739746	Zm00001d039345	Zm00004b015670
baf60.21	baf60.21-m2	tassel_stem	down	GO:0071365	cellular response to auxin stimulus	1	0.040345306	Zm00001d039345	Zm00004b015670
baf60.21	baf60.21-m2	tassel_stem	down	GO:0080123	jasmonate-amino synthetase activity	1	0.028236576	Zm00001d039345	Zm00004b015670
baf60.21	baf60.21-m2	tassel_stem	down	GO:0097164	ammonium ion metabolic process	1	0.001787874	Zm00001d039337	Zm00004b015665
baf60.21	baf60.21-m2	tassel_stem	down	GO:2000030	regulation of response to red or far red light	1	0.028236576	Zm00001d039345	Zm00004b015670
baf60.21	baf60.21-m2	tassel_stem	up	GO:0000137	Golgi cis cisterna	1	0.01446105	Zm00001d048499	Zm00004b034549
baf60.21	baf60.21-m2	tassel_stem	up	GO:0000165	MAPK cascade	12	0.006239686	"Zm00001d001774,Zm00001d003048,Zm00001d005766,Zm00001d008570,Zm00001d014063,Zm00001d014181,Zm00001d014843,Zm00001d015515,Zm00001d027530,Zm00001d029583,Zm00001d036364,Zm00001d039963"	"Zm00004b005878,Zm00004b006957,Zm00004b009018,Zm00004b024878,Zm00004b011923,Zm00004b012029,Zm00004b012550,Zm00004b013069,Zm00004b000258,Zm00004b001865,Zm00004b029213,Zm00004b016218"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0000802	transverse filament	1	0.021613528	Zm00001d025575	Zm00004b039645
baf60.21	baf60.21-m2	tassel_stem	up	GO:0001778	plasma membrane repair	1	0.042763224	Zm00001d014499	Zm00004b012267
baf60.21	baf60.21-m2	tassel_stem	up	GO:0002237	response to molecule of bacterial origin	5	0.020386109	"Zm00001d005766,Zm00001d008570,Zm00001d014181,Zm00001d015515,Zm00001d039963"	"Zm00004b009018,Zm00004b024878,Zm00004b012029,Zm00004b013069,Zm00004b016218"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0002679	respiratory burst involved in defense response	6	0.013135069	"Zm00001d001774,Zm00001d005766,Zm00001d013208,Zm00001d015515,Zm00001d017152,Zm00001d017983"	"Zm00004b005878,Zm00004b009018,Zm00004b011195,Zm00004b013069,Zm00004b014322,Zm00004b015048"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0002684	positive regulation of immune system process	1	0.042763224	Zm00001d043200	Zm00004b018734
baf60.21	baf60.21-m2	tassel_stem	up	GO:0004564	beta-fructofuranosidase activity	1	0.028714471	Zm00001d004804	Zm00004b008296
baf60.21	baf60.21-m2	tassel_stem	up	GO:0005504	fatty acid binding	2	0.02118716	"Zm00001d019399,Zm00001d019400"	"Zm00004b035271,Zm00004b035272"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0005522	profilin binding	1	0.042763224	Zm00001d017983	Zm00004b015048
baf60.21	baf60.21-m2	tassel_stem	up	GO:0006065	UDP-glucuronate biosynthetic process	1	0.021613528	Zm00001d013245	Zm00004b011229
baf60.21	baf60.21-m2	tassel_stem	up	GO:0006493	protein O-linked glycosylation	1	0.049711763	Zm00001d044777	Zm00004b031499
baf60.21	baf60.21-m2	tassel_stem	up	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	1	0.042763224	Zm00001d003249	Zm00004b007115
baf60.21	baf60.21-m2	tassel_stem	up	GO:0009581	detection of external stimulus	5	0.000201705	"Zm00001d003048,Zm00001d005766,Zm00001d008570,Zm00001d013782,Zm00001d039963"	"Zm00004b006957,Zm00004b009018,Zm00004b024878,Zm00004b011685,Zm00004b016218"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0009743	response to carbohydrate	16	7.21E-04	"Zm00001d001774,Zm00001d003048,Zm00001d005766,Zm00001d008570,Zm00001d011228,Zm00001d013208,Zm00001d014181,Zm00001d014843,Zm00001d015515,Zm00001d017152,Zm00001d022597,Zm00001d027530,Zm00001d036364,Zm00001d039963,Zm00001d044253,Zm00001d053695"	"Zm00004b005878,Zm00004b006957,Zm00004b009018,Zm00004b024878,Zm00004b026978,Zm00004b011195,Zm00004b012029,Zm00004b012550,Zm00004b013069,Zm00004b014322,Zm00004b037685,Zm00004b000258,Zm00004b029213,Zm00004b016218,Zm00004b019667,Zm00004b024209"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0009814	defense response/ incompatible interaction	5	5.55E-04	"Zm00001d001774,Zm00001d014181,Zm00001d014843,Zm00001d027530,Zm00001d036364"	"Zm00004b005878,Zm00004b012029,Zm00004b012550,Zm00004b000258,Zm00004b029213"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0009938	negative regulation of gibberellic acid mediated signaling pathway	2	0.023832637	"Zm00001d012482,Zm00001d015515"	"Zm00004b028012,Zm00004b013069"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0010112	regulation of systemic acquired resistance	2	0.010981419	"Zm00001d008570,Zm00001d039963"	"Zm00004b024878,Zm00004b016218"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0010197	polar nucleus fusion	3	0.030221604	"Zm00001d011228,Zm00001d044253,Zm00001d046319"	"Zm00004b026978,Zm00004b019667,Zm00004b032668"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0010200	response to chitin	19	4.33E-04	"Zm00001d001774,Zm00001d003048,Zm00001d005766,Zm00001d006330,Zm00001d008570,Zm00001d009328,Zm00001d011228,Zm00001d013208,Zm00001d014181,Zm00001d014843,Zm00001d015515,Zm00001d017152,Zm00001d017983,Zm00001d022597,Zm00001d027530,Zm00001d036364,Zm00001d039963,Zm00001d044253,Zm00001d053695"	"Zm00004b005878,Zm00004b006957,Zm00004b009018,Zm00004b009479,Zm00004b024878,Zm00004b025454,Zm00004b026978,Zm00004b011195,Zm00004b012029,Zm00004b012550,Zm00004b013069,Zm00004b014322,Zm00004b015048,Zm00004b037685,Zm00004b000258,Zm00004b029213,Zm00004b016218,Zm00004b019667,Zm00004b024209"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0010334	sesquiterpene synthase activity	1	0.01446105	Zm00001d004279	Zm00004b007922
baf60.21	baf60.21-m2	tassel_stem	up	GO:0016045	detection of bacterium	3	0.008623902	"Zm00001d003048,Zm00001d013782,Zm00001d015515"	"Zm00004b006957,Zm00004b011685,Zm00004b013069"
baf60.21	baf60.21-m2	tassel_stem	up	GO:0016106	sesquiterpenoid biosynthetic process	1	0.01446105	Zm00001d004279	Zm00004b007922
baf60.21	baf60.21-m2	tassel_stem	up	GO:0016615	malate dehydrogenase activity	1	0.021613528	Zm00001d014030	Zm00004b011895
baf60.21	baf60.21-m2	tassel_stem	up	GO:0018456	aryl-alcohol dehydrogenase (NAD+) activity	1	0.042763224	Zm00001d004443	Zm00004b008034
